Date,Unknown,Message,Code,Parameter_from,Parameter_to
1/5/18 0:04,2,Button Change: NORMAL is to OFF,257,0,
1/5/18 0:04,2,Button Change: SAMPLE is to ON,261,1,
1/5/18 0:04,1,Work Data Change: Wire Length is from 1255 to 1705,257,1255,1705
1/5/18 0:05,2,Button Change: NORMAL is to ON,257,1,
1/5/18 0:05,2,Button Change: SAMPLE is to OFF,261,0,
1/5/18 0:27,2,Button Change: NORMAL is to OFF,257,0,
1/5/18 0:27,2,Button Change: SAMPLE is to ON,261,1,
1/5/18 0:30,2,Button Change: SAMPLE is to OFF,261,0,
1/5/18 0:30,2,Button Change: TEST is to ON,259,1,
1/5/18 0:30,2,Button Change: NORMAL is to ON,257,1,
1/5/18 0:30,2,Button Change: TEST is to OFF,259,0,
1/5/18 0:42,2,Button Change: NORMAL is to OFF,257,0,
1/5/18 0:42,2,Button Change: EJECT is to ON,258,1,
1/5/18 0:49,3,Error Message: Feed roller is opened is Occurred,114,1,
1/5/18 0:49,2,Button Change: Wire Loaded is to OFF,1815,0,
1/5/18 0:50,3,Error Message: Feed roller is opened is Cancel,114,0,
1/5/18 0:50,2,Button Change: Wire Loaded is to ON,1815,1,
1/5/18 0:51,2,Button Change: TEST is to ON,259,1,
1/5/18 0:51,2,Button Change: EJECT is to OFF,258,0,
1/5/18 0:51,3,Error Message: Stop before the waster eject is Occurred,70,1,
1/5/18 0:51,2,Button Change: NORMAL is to ON,257,1,
1/5/18 0:51,2,Button Change: TEST is to OFF,259,0,
1/5/18 0:51,3,Error Message: Stop before the waster eject is Cancel,70,0,
1/5/18 1:34,3,Error Message: Feed roller is opened is Occurred,114,1,
1/5/18 1:34,2,Button Change: Wire Loaded is to OFF,1815,0,
1/5/18 1:35,3,Error Message: Feed roller is opened is Cancel,114,0,
1/5/18 1:35,2,Button Change: Wire Loaded is to ON,1815,1,
1/5/18 1:37,10,Bank Load: Bank change into 585,585,,
1/5/18 1:37,1,Work Data Change: Wire Feed Speed 1 is from 4.0 to 3.0,2564,4,3
1/5/18 1:37,1,Work Data Change: Wire Feed Speed 2 is from 4.0 to 10.0,2565,4,10
1/5/18 1:37,1,Work Data Change: Wire Length Correction 2 is from 0.0 to 1.7,2562,0,1.7
1/5/18 1:37,2,Button Change: Crimp 1 Switch is to OFF,1281,0,
1/5/18 1:37,2,Button Change: Seal 1 is to ON,771,1,
1/5/18 1:37,2,Button Change: Crimp 2 Switch is to OFF,1282,0,
1/5/18 1:37,2,Button Change: Detection status of crimp error 1 is to OFF,2575,0,
1/5/18 1:37,2,Button Change: Detection status of no terminal 1 is to OFF,2577,0,
1/5/18 1:37,2,Button Change: Detection status of terminal overload 1 is to OFF,2579,0,
1/5/18 1:37,2,Button Change: Detection status of crimp error 2 is to OFF,2576,0,
1/5/18 1:37,2,Button Change: Detection status of no seal 1 is to ON,2581,1,
1/5/18 1:37,2,Button Change: Detection status of seal insert error 1 is to ON,2583,1,
1/5/18 1:37,2,Button Change: Detection status of no terminal 2 is to OFF,2578,0,
