,Date,,Message,Code,Parameter_From,Parameter_To
1,30/4/2018 4:06:07 PM,3,Error Message: Stop before the waster eject is Cancel,70,0,
2,30/4/2018 4:06:07 PM,3,Error Message: Defect detection: Side2 miss-crimp (CFM) is Cancel,82,0,
3,30/4/2018 4:06:26 PM,1,Work Data Change: Seal 2 Insert Length is from 5.7 to 5.8,1793,5.7,5.8
4,30/4/2018 4:07:16 PM,1,Work Data Change: Strip Length 1 is from 4.1 to 3.9,513,4.1,3.9
5,30/4/2018 4:07:48 PM,3,Error Message: Stop before the waster eject is Occurred,70,1,
6,30/4/2018 4:07:48 PM,3,Error Message: Defect detection: Side2 miss-crimp (CFM) is Occurred,82,1,
7,30/4/2018 4:08:04 PM,3,Error Message: Stop before the waster eject is Cancel,70,0,
8,30/4/2018 4:08:04 PM,3,Error Message: Defect detection: Side2 miss-crimp (CFM) is Cancel,82,0,
9,30/4/2018 4:10:16 PM,2,Button Change: NORMAL is to OFF,257,0,
10,30/4/2018 4:10:16 PM,2,Button Change: TEST is to ON,259,1,
11,30/4/2018 4:10:48 PM,2,Button Change: NORMAL is to ON,257,1,
12,30/4/2018 4:10:48 PM,2,Button Change: TEST is to OFF,259,0,
13,30/4/2018 4:15:08 PM,3,Error Message: Stop before the waster eject is Occurred,70,1,
14,30/4/2018 4:15:08 PM,3,Error Message: Defect detection: Side2 miss-crimp (CFM) is Occurred,82,1,
15,30/4/2018 4:15:15 PM,3,Error Message: Stop before the waster eject is Cancel,70,0,
16,30/4/2018 4:15:15 PM,3,Error Message: Defect detection: Side2 miss-crimp (CFM) is Cancel,82,0,
17,30/4/2018 4:15:15 PM,3,Error Message: Side 1 terminal overload is Occurred,46,1,
18,30/4/2018 4:15:31 PM,3,Error Message: Side 1 terminal overload is Cancel,46,0,
19,30/4/2018 4:33:51 PM,10,Bank Load: Bank change into 1529,1529,,
20,30/4/2018 4:33:51 PM,2,Button Change: Crimp 1 Switch is to OFF,1281,0,
21,30/4/2018 4:33:51 PM,2,Button Change: Crimp 2 Switch is to OFF,1282,0,
22,30/4/2018 4:33:51 PM,2,Button Change: Detection status of crimp error 1 is to OFF,2575,0,
23,30/4/2018 4:33:51 PM,2,Button Change: Detection status of no terminal 1 is to OFF,2577,0,
24,30/4/2018 4:33:51 PM,2,Button Change: Detection status of terminal overload 1 is to OFF,2579,0,
25,30/4/2018 4:33:51 PM,2,Button Change: Strip 1 is to OFF,769,0,
26,30/4/2018 4:33:51 PM,2,Button Change: Crimp 1 is to OFF,770,0,
27,30/4/2018 4:33:51 PM,2,Button Change: Detection status of crimp error 2 is to OFF,2576,0,
28,30/4/2018 4:33:51 PM,2,Button Change: Detection status of no terminal 2 is to OFF,2578,0,
29,30/4/2018 4:33:51 PM,2,Button Change: Detection status of terminal overload 2 is to OFF,2580,0,
30,30/4/2018 4:33:51 PM,2,Button Change: Strip 2 is to OFF,1025,0,
31,30/4/2018 4:33:51 PM,2,Button Change: Crimp 2 is to OFF,1026,0,
32,30/4/2018 4:33:51 PM,2,Button Change: Seal 2 is to OFF,1027,0,
33,30/4/2018 4:33:51 PM,2,Button Change: Detection status of strip error 1 is to OFF,2573,0,
34,30/4/2018 4:33:51 PM,2,Button Change: Detection status of strip error 2 is to OFF,2574,0,
35,30/4/2018 4:33:51 PM,1,Work Data Change: Wire Length is from 1230 to 100,257,1230,100
36,30/4/2018 4:33:51 PM,1,Work Data Change: Strip Length 1 is from 3.9 to 0.0,513,3.9,0
37,30/4/2018 4:33:51 PM,2,Button Change: Detection status of no seal 2 is to OFF,2582,0,
38,30/4/2018 4:33:51 PM,2,Button Change: Detection status of seal insert error 2 is to OFF,2584,0,
