Code,description,Message,Machine
70, Stop before the waster eject is Occurred,2054,Forty-Six
114, Feed roller is opened is Occurred,661,Forty-Six
41, Defect detection: Side1 miss-strip is Occurred,541,Forty-Six
80, Eject the teaching wire. is Occurred,368,Forty-Six
81, Defect detection: Side1 miss-crimp (CFM) is Occurred,323,Forty-Six
82, Defect detection: Side2 miss-crimp (CFM) is Occurred,318,Forty-Six
48, Defect detection: Side 1 seal miss-insert is Occurred,256,Forty-Six
32, Abnormal feed deflection is Occurred,183,Forty-Six
21, Emergency Stop is Occurred,121,Forty-Six
23, Air pressure drop is Occurred,90,Forty-Six
18, Servo Alarm: Side 1 stripper is Occurred,82,Forty-Six
19, Servo Alarm: Side 2 stripper is Occurred,82,Forty-Six
20, Servo Alarm: Ejector is Occurred,82,Forty-Six
12, Servo Alarm: Side 1 slider is Occurred,82,Forty-Six
50, Miss air-transfer: Side 1 seal is Occurred,81,Forty-Six
11, Servo Alarm: Feed is Occurred,81,Forty-Six
15, Servo Alarm: Side 2 slider is Occurred,81,Forty-Six
13, Servo Alarm: Swing is Occurred,81,Forty-Six
16, Servo Alarm: Transfer is Occurred,80,Forty-Six
14, Servo Alarm: Side 1  crimper is Occurred,80,Forty-Six
17, Servo Alarm: Side 2 crimper is Occurred,79,Forty-Six
56, Defect detection: Side 2 miss-strip is Occurred,61,Forty-Six
28, Wire joint is Occurred,55,Forty-Six
26, No wire is Occurred,40,Forty-Six
85, Return the ejector unit is Occurred,21,Forty-Six
77, Ejector cover is opened is Occurred,8,Forty-Six
60, Side 2 No terminal is Occurred,6,Forty-Six
61, Side 2 terminal overload is Occurred,4,Forty-Six
83, The edge length of side 1 is NOT enough. (Seal inserting length) is Occurred,3,Forty-Six
106, Side 1 strip preset value is unsuitable is Occurred,1,Forty-Six
109, Side 2 strip preset value is unsuitable is Occurred,1,Forty-Six
45, Side 1 No terminal is Occurred,1,Forty-Six
70, Stop before the waster eject is Occurred,1713,Forty-Six
114, Feed roller is opened is Occurred,467,Forty-Seven
81, Defect detection: Side1 miss-crimp (CFM) is Occurred,438,Forty-Seven
