46,,,,47,,,,49,,,,50,,,,51,,
Date,Time,Total_error,,Date,Time,Total_error,,Date,Time,Total_error,,Date,Time,Total_error,,Date,Time,Total_error
1/3/18,4:40:00,270,,1/3/18,11:27:00,193,,1/3/18,11:20:00,152,,1/3/18,12:03:00,126,,1/3/18,8:30:00,144
2/3/18,4:42:00,187,,2/3/18,11:20:00,173,,2/3/18,11:04:00,130,,2/3/18,6:25:00,143,,2/3/18,15:55:00,56
3/3/18,6:10:00,182,,3/3/18,23:55,824,,3/3/18,9:04:00,195,,3/3/18,12:02:00,137,,3/3/18,14:48:00,124
4/3/18,0:02:00,8,,4/3/18,0:38:00,35,,4/3/18,15:01:00,195,,4/3/18,5:14:00,127,,4/3/18,5:26:00,64
5/3/18,4:45:00,237,,5/3/18,15:42:00,153,,5/3/18,6:22:00,89,,5/3/18,11:54:00,89,,5/3/18,4:58:00,102
6/3/18,6:50,111,,6/3/18,17:47:00,128,,6/3/18,10:39:00,196,,6/3/18,12:12:00,117,,6/3/18,6:59:00,160
7/3/18,6:59:00,127,,7/3/18,12:27:00,140,,7/3/18,6:57:00,152,,7/3/18,12:09:00,73,,7/3/18,6:42:00,154
8/3/18,9:11,166,,8/3/18,8:45:00,121,,8/3/18,5:23:00,489,,8/3/18,18:22:00,62,,8/3/18,5:10:00,187
9/3/18,7:47,185,,9/3/18,8:23:00,122,,9/3/18,8:43:00,243,,9/3/18,12:11:00,50,,9/3/18,4:03:00,95
10/3/18,7:04:00,153,,10/3/18,15:51:59,192,,10/3/18,5:48:00,258,,10/3/18,20:11:00,81,,10/3/18,7:23:00,103
11/3/18,3:22:00,90,,11/3/18,2:50:00,162,,11/3/18,7:15,417,,11/3/18,2:22:00,55,,11/3/18,4:23:00,143
12/3/18,6:29:00,205,,12/3/18,7:35:00,158,,12/3/18,5:15:00,313,,12/3/18,13:01:00,89,,12/3/18,2:03:00,48
13/3/18,4:32:00,139,,13/3/18,6:36:28,224,,13/3/18,9:07:25,240,,13/3/18,4:20:37,37,,13/3/18,3:40:00,36
15/3/18,5:33:00,224,,14/3/18,7:52:37,179,,14/3/18,12:10:10,119,,14/3/18,7:36:50,82,,14/3/18,6:41:00,139
16/3/18,10:59:00,224,,15/3/18,8:14:50,246,,15/3/18,9:47:17,281,,15/3/18,11:15:16,111,,15/3/18,2:47:00,65
17/3/18,7:30:00,177,,16/3/18,15:42:37,187,,16/3/18,10:19:23,272,,16/3/18,14:04:12,154,,16/3/18,15:49:00,54
18/3/18,2:29:00,40,,17/3/18,22:12:20,155,,17/3/18,4:56:29,205,,17/3/18,19:32:43,134,,17/3/18,8:39:00,124
19/3/18,6:42:00,250,,18/3/18,17:23:00,180,,18/3/18,5:08:19,266,,18/3/18,5:18:09,197,,18/3/18,5:34:00,120
20/3/18,3:54:00,261,,19/3/18,9:23:16,153,,19/3/18,5:18:18,110,,19/3/18,6:04:28,112,,19/3/18,5:27:00,74
21/3/18,12:04:00,219,,20/3/18,9:05:25,122,,20/3/18,7:43:29,220,,20/3/18,13:16:48,177,,20/3/18,5:50:00,212
22/3/18,6:09:00,277,,21/3/18,15:48:58,237,,21/3/18,10:26:34,256,,21/3/18,11:31:42,145,,21/3/18,5:18:00,118
24/3/18,23:59:59,184,,22/3/18,23:59:55,836,,22/3/18,23:59:41,836,,22/3/18,6:30:31,147,,22/3/18,10:07:00,169
25/3/18,0:38:00,175,,23/3/18,5:16:42,237,,23/3/18,5:16:42,237,,23/3/18,6:28:00,155,,23/3/18,15:49:00,69
26/3/18,6:19,200,,24/3/18,5:46:13,237,,24/3/18,5:59:13,237,,24/3/18,9:39:35,145,,24/3/18,8:23,101
27/3/18,10:51:00,267,,25/3/18,1:19:46,391,,25/3/18,6:01:37,391,,26/3/18,12:00:08,89,,25/3/18,13:14:00,102
28/3/18,7:13,221,,26/3/18,6:53:18,296,,26/3/18,6:53:18,296,,27/3/18,11:52:19,159,,26/3/18,9:50:00,124
29/3/18,6:18,207,,27/3/18,7:56:39,313,,27/3/18,7:56:39,313,,28/3/18,12:05:24,130,,27/3/18,9:13:00,266
30/3/18,5:19,95,,28/3/18,8:37:37,365,,28/3/18,8:37:37,365,,29/3/18,11:57:23,141,,28/3/18,9:29:00,153
,,,,29/3/18,11:24:13,306,,29/3/18,11:24:13,306,,30/3/18,2:02:26,86,,29/3/18,9:31:00,121
,,,,30/3/18,4:42:16,40,,30/3/18,4:42:16,40,,,,,,30/3/18,5:55:00,140
,,,,31/3/18,4:54:18,147,,31/3/18,4:54:18,147,,,,,,31/3/18,2:20:00,32
