Date,Time,Total_error,Machine
1/4/18,18:52:09,132,Forty-six
2/4/18,6:10:54,198,Forty-six
3/4/18,7:37:00,161,Forty-six
4/4/18,6:22:00,300,Forty-six
5/4/18,10:30:00,302,Forty-six
6/4/18,4:27:00,0,Forty-six
7/4/18,7:30:00,286,Forty-six
8/4/18,3:38:00,123,Forty-six
9/4/18,14:14:00,128,Forty-six
10/4/18,14:05:00,71,Forty-six
11/4/18,5:52:00,245,Forty-six
12/4/18,12:10:00,217,Forty-six
13/4/18,22:43:10,114,Forty-six
14/4/18,0:24:52,198,Forty-six
16/4/18,5:08:56,172,Forty-six
17/4/18,4:51:55,287,Forty-six
18/4/18,7:53:26,233,Forty-six
19/4/18,8:27:38,105,Forty-six
20/4/18,7:23:13,212,Forty-six
21/4/18,9:23:00,210,Forty-six
22/4/18,3:54:16,158,Forty-six
23/4/18,2:30:00,133,Forty-six
24/4/18,4:42:54,83,Forty-six
25/4/18,2:35:56,196,Forty-six
26/4/18,6:20:36,112,Forty-six
27/4/18,5:35:46,202,Forty-six
28/4/18,11:01:15,223,Forty-six
29/4/18,0:35:48,243,Forty-six
30/4/18,9:45:59,154,Forty-six
1/4/18,18:54,155,Forty-seven
2/4/18,8:59,222,Forty-seven
3/4/18,6:05,244,Forty-seven
4/4/18,15:36,184,Forty-seven
5/4/18,6:33,157,Forty-seven
6/4/18,7:04,131,Forty-seven
7/4/18,9:04,133,Forty-seven
8/4/18,3:02,93,Forty-seven
9/4/18,6:19,92,Forty-seven
10/4/18,5:16,67,Forty-seven
11/4/18,8:24,141,Forty-seven
12/4/18,13:40,83,Forty-seven
13/4/18,8:36,105,Forty-seven
14/4/18,5:54:54,141,Forty-seven
16/4/18,8:06,114,Forty-seven
17/4/18,6:36,197,Forty-seven
18/4/18,5:05,142,Forty-seven
19/4/18,15:56,110,Forty-seven
20/4/18,6:10,212,Forty-seven
21/4/18,10:03,194,Forty-seven
22/4/18,5:33,103,Forty-seven
23/4/18,14:25,196,Forty-seven
24/4/18,6:52,165,Forty-seven
25/4/18,9:55,101,Forty-seven
26/4/18,6:06,121,Forty-seven
27/4/18,7:26,207,Forty-seven
28/4/18,8:37,214,Forty-seven
29/4/18,1:04:00,135,Forty-seven
30/4/18,10:20,153,Forty-seven
1/4/18,8:49:00,244,Forty-nine
2/4/18,5:20:00,322,Forty-nine
3/4/18,7:51:00,227,Forty-nine
4/4/18,12:03:00,239,Forty-nine
5/4/18,7:11:00,263,Forty-nine
6/4/18,6:40:00,313,Forty-nine
7/4/18,7:14:00,275,Forty-nine
8/4/18,4:16:00,124,Forty-nine
9/4/18,12:40:00,105,Forty-nine
10/4/18,4:09:00,89,Forty-nine
11/4/18,4:53:00,183,Forty-nine
12/4/18,5:02:00,155,Forty-nine
13/4/18,3:34:11,134,Forty-nine
14/4/18,5:39:39,461,Forty-nine
16/4/18,10:55:51,303,Forty-nine
17/4/18,5:32:02,236,Forty-nine
18/4/18,10:53:06,252,Forty-nine
19/4/18,10:56:34,295,Forty-nine
20/4/18,9:33:07,268,Forty-nine
21/4/18,10:59:08,240,Forty-nine
22/4/18,1:45:37,216,Forty-nine
23/4/18,6:52:18,212,Forty-nine
24/4/18,7:26:15,225,Forty-nine
25/4/18,4:14:35,236,Forty-nine
26/4/18,6:41:45,133,Forty-nine
27/4/18,5:44:03,334,Forty-nine
28/4/18,15:47:22,201,Forty-nine
29/4/18,2:33:45,247,Forty-nine
30/4/18,7:50:05,179,Forty-nine
1/4/18,12:13:00,93,Fifty
2/4/18,5:12:00,73,Fifty
3/4/18,7:00:00,115,Fifty
4/4/18,6:48:00,106,Fifty
5/4/18,7:37:00,163,Fifty
6/4/18,9:13:00,89,Fifty
7/4/18,18:23:00,118,Fifty
8/4/18,4:47:00,63,Fifty
9/4/18,10:37:00,137,Fifty
10/4/18,4:42:00,64,Fifty
11/4/18,19:06,92,Fifty
13/4/18,7:44:51,85,Fifty
14/4/18,0:31:36,80,Fifty
16/4/18,10:25:05,162,Fifty
17/4/18,6:55:22,86,Fifty
18/4/18,7:09:14,117,Fifty
19/4/18,7:02:02,100,Fifty
20/4/18,2:41:46,113,Fifty
21/4/18,10:47:05,191,Fifty
22/4/18,5:23:24,84,Fifty
23/4/18,6:35:44,191,Fifty
24/4/18,6:47:29,103,Fifty
25/4/18,8:43:03,137,Fifty
26/4/18,6:46:58,147,Fifty
27/4/18,15:06:58,97,Fifty
28/4/18,16:56:44,134,Fifty
29/4/18,0:24:42,127,Fifty
30/4/18,13:52:38,95,Fifty
1/4/18,7:31,117,Fifty-one
2/4/18,11:39:00,159,Fifty-one
3/4/18,18:59:00,71,Fifty-one
4/4/18,13:52:00,97,Fifty-one
5/4/18,0:26,119,Fifty-one
6/4/18,8:17:00,64,Fifty-one
7/4/18,18:10:00,218,Fifty-one
8/4/18,2:08,123,Fifty-one
9/4/18,3:59:00,302,Fifty-one
10/4/18,4:43,132,Fifty-one
11/4/18,2:58,14,Fifty-one
