Date,Time,Minutes,Hours,Total_error,Machine
1/3/18,4:40:00,280,5,270,Forty-six
2/3/18,4:42:00,282,5,187,Forty-six
3/3/18,6:10:00,370,6,182,Forty-six
4/3/18,0:02:00,2,0,8,Forty-six
5/3/18,4:45:00,285,5,237,Forty-six
6/3/18,6:50,410,7,111,Forty-six
7/3/18,6:59:00,419,7,127,Forty-six
8/3/18,9:11,551,9,166,Forty-six
9/3/18,7:47,467,8,185,Forty-six
10/3/18,7:04:00,424,7,153,Forty-six
11/3/18,3:22:00,202,3,90,Forty-six
12/3/18,6:29:00,389,6,205,Forty-six
13/3/18,4:32:00,272,5,139,Forty-six
15/3/18,5:33:00,333,6,224,Forty-six
16/3/18,10:59:00,659,11,224,Forty-six
17/3/18,7:30:00,450,8,177,Forty-six
18/3/18,2:29:00,149,2,40,Forty-six
19/3/18,6:42:00,402,7,250,Forty-six
20/3/18,3:54:00,234,4,261,Forty-six
21/3/18,12:04:00,724,12,219,Forty-six
22/3/18,6:09:00,369,6,277,Forty-six
24/3/18,23:59:59,1439.98,24,184,Forty-six
25/3/18,0:38:00,38,1,175,Forty-six
26/3/18,6:19,379,6,200,Forty-six
27/3/18,10:51:00,651,11,267,Forty-six
28/3/18,7:13,433,7,221,Forty-six
29/3/18,6:18,378,6,207,Forty-six
30/3/18,5:19,319,5,95,Forty-six
1/3/18,11:27:00,687,11,193,Forty-seven
2/3/18,11:20:00,680,11,173,Forty-seven
3/3/18,23:55,1435,24,824,Forty-seven
4/3/18,0:38:00,38,1,35,Forty-seven
5/3/18,15:42:00,942,16,153,Forty-seven
6/3/18,17:47:00,1067,18,128,Forty-seven
7/3/18,12:27:00,747,12,140,Forty-seven
8/3/18,8:45:00,525,9,121,Forty-seven
9/3/18,8:23:00,503,8,122,Forty-seven
10/3/18,15:51:59,951.98,16,192,Forty-seven
11/3/18,2:50:00,170,3,162,Forty-seven
12/3/18,7:35:00,455,8,158,Forty-seven
13/3/18,6:36:28,396.47,7,224,Forty-seven
14/3/18,7:52:37,472.62,8,179,Forty-seven
15/3/18,8:14:50,494.83,8,246,Forty-seven
16/3/18,15:42:37,942.62,16,187,Forty-seven
17/3/18,22:12:20,1332.33,22,155,Forty-seven
18/3/18,17:23:00,1043,17,180,Forty-seven
19/3/18,9:23:16,563.27,9,153,Forty-seven
20/3/18,9:05:25,545.42,9,122,Forty-seven
21/3/18,15:48:58,948.97,16,237,Forty-seven
22/3/18,23:59:55,1439.92,24,836,Forty-seven
23/3/18,5:16:42,316.7,5,237,Forty-seven
24/3/18,5:46:13,346.22,6,237,Forty-seven
25/3/18,1:19:46,79.77,1,391,Forty-seven
26/3/18,6:53:18,413.3,7,296,Forty-seven
27/3/18,7:56:39,476.65,8,313,Forty-seven
28/3/18,8:37:37,517.62,9,365,Forty-seven
29/3/18,11:24:13,684.22,11,306,Forty-seven
30/3/18,4:42:16,282.27,5,40,Forty-seven
31/3/18,4:54:18,294.3,5,147,Forty-seven
1/3/18,11:20:00,680,11,152,Forty-nine
2/3/18,11:04:00,664,11,130,Forty-nine
3/3/18,9:04:00,544,9,195,Forty-nine
4/3/18,15:01:00,901,15,195,Forty-nine
5/3/18,6:22:00,382,6,89,Forty-nine
6/3/18,10:39:00,639,11,196,Forty-nine
7/3/18,6:57:00,417,7,152,Forty-nine
8/3/18,5:23:00,323,5,489,Forty-nine
9/3/18,8:43:00,523,9,243,Forty-nine
10/3/18,5:48:00,348,6,258,Forty-nine
11/3/18,7:15,435,7,417,Forty-nine
12/3/18,5:15:00,315,5,313,Forty-nine
13/3/18,9:07:25,547.42,9,240,Forty-nine
14/3/18,12:10:10,730.17,12,119,Forty-nine
15/3/18,9:47:17,587.28,10,281,Forty-nine
16/3/18,10:19:23,619.38,10,272,Forty-nine
17/3/18,4:56:29,296.48,5,205,Forty-nine
18/3/18,5:08:19,308.32,5,266,Forty-nine
19/3/18,5:18:18,318.3,5,110,Forty-nine
20/3/18,7:43:29,463.48,8,220,Forty-nine
21/3/18,10:26:34,626.57,10,256,Forty-nine
22/3/18,23:59:41,1439.68,24,836,Forty-nine
23/3/18,5:16:42,316.7,5,237,Forty-nine
24/3/18,5:59:13,359.22,6,237,Forty-nine
25/3/18,6:01:37,361.62,6,391,Forty-nine
26/3/18,6:53:18,413.3,7,296,Forty-nine
27/3/18,7:56:39,476.65,8,313,Forty-nine
28/3/18,8:37:37,517.62,9,365,Forty-nine
29/3/18,11:24:13,684.22,11,306,Forty-nine
30/3/18,4:42:16,282.27,5,40,Forty-nine
31/3/18,4:54:18,294.3,5,147,Forty-nine
1/3/18,12:03:00,723,12,126,Fifty
2/3/18,6:25:00,385,6,143,Fifty
3/3/18,12:02:00,722,12,137,Fifty
4/3/18,5:14:00,314,5,127,Fifty
