Date,Time,Total_error,Machine
1/3/18,4:40:00,270,Forty-six
2/3/18,4:42:00,187,Forty-six
3/3/18,6:10:00,182,Forty-six
4/3/18,0:02:00,8,Forty-six
5/3/18,4:45:00,237,Forty-six
6/3/18,6:50,111,Forty-six
7/3/18,6:59:00,127,Forty-six
8/3/18,9:11,166,Forty-six
9/3/18,7:47,185,Forty-six
10/3/18,7:04:00,153,Forty-six
11/3/18,3:22:00,90,Forty-six
12/3/18,6:29:00,205,Forty-six
13/3/18,4:32:00,139,Forty-six
15/3/18,5:33:00,224,Forty-six
16/3/18,10:59:00,224,Forty-six
17/3/18,7:30:00,177,Forty-six
18/3/18,2:29:00,40,Forty-six
19/3/18,6:42:00,250,Forty-six
20/3/18,3:54:00,261,Forty-six
21/3/18,12:04:00,219,Forty-six
22/3/18,6:09:00,277,Forty-six
24/3/18,23:59:59,184,Forty-six
25/3/18,0:38:00,175,Forty-six
26/3/18,6:19,200,Forty-six
27/3/18,10:51:00,267,Forty-six
28/3/18,7:13,221,Forty-six
29/3/18,6:18,207,Forty-six
30/3/18,5:19,95,Forty-six
1/3/18,11:27:00,193,Forty-seven
2/3/18,11:20:00,173,Forty-seven
3/3/18,23:55,824,Forty-seven
4/3/18,0:38:00,35,Forty-seven
5/3/18,15:42:00,153,Forty-seven
6/3/18,17:47:00,128,Forty-seven
7/3/18,12:27:00,140,Forty-seven
8/3/18,8:45:00,121,Forty-seven
9/3/18,8:23:00,122,Forty-seven
10/3/18,15:51:59,192,Forty-seven
11/3/18,2:50:00,162,Forty-seven
12/3/18,7:35:00,158,Forty-seven
13/3/18,6:36:28,224,Forty-seven
14/3/18,7:52:37,179,Forty-seven
15/3/18,8:14:50,246,Forty-seven
16/3/18,15:42:37,187,Forty-seven
17/3/18,22:12:20,155,Forty-seven
18/3/18,17:23:00,180,Forty-seven
19/3/18,9:23:16,153,Forty-seven
20/3/18,9:05:25,122,Forty-seven
21/3/18,15:48:58,237,Forty-seven
22/3/18,23:59:55,836,Forty-seven
23/3/18,5:16:42,237,Forty-seven
24/3/18,5:46:13,237,Forty-seven
25/3/18,1:19:46,391,Forty-seven
26/3/18,6:53:18,296,Forty-seven
