Date,Time,Total_error,Machine
1/5/18,2:28:00,170,Forty-six
2/5/18,3:00:00,97,Forty-six
3/5/18,4:00:00,195,Forty-six
4/5/18,4:00:00,254,Forty-six
5/5/18,8:00:00,174,Forty-six
6/5/18,4:19:00,145,Forty-six
7/5/18,5:10:00,242,Forty-six
8/5/18,6:37:00,250,Forty-six
9/5/18,6:07:00,144,Forty-six
10/5/18,6:26:00,175,Forty-six
11/5/18,7:16:00,216,Forty-six
12/5/18,3:32:00,189,Forty-six
13/5/18,2:20:00,211,Forty-six
14/5/18,6:44:00,228,Forty-six
15/5/18,4:54:00,157,Forty-six
16/5/18,7:00:00,111,Forty-six
17/5/18,8:00:00,202,Forty-six
18/5/18,15:38:00,376,Forty-six
19/5/18,23:43:00,1047,Forty-six
20/5/18,3:06:00,1111,Forty-six
21/5/18,0:20:00,328,Forty-six
22/5/18,0:50:00,41,Forty-six
28/5/18,17:40:34,525,Forty-six
29/5/18,23:59:25,1195,Forty-six
30/5/18,9:21:21,1424,Forty-six
31/5/18,15:50:00,378,Forty-six
1/5/18,1:44:16,158,Forty-seven
2/5/18,7:31:00,202,Forty-seven
3/5/18,15:00:00,157,Forty-seven
4/5/18,6:53:15,222,Forty-seven
5/5/18,17:20:43,187,Forty-seven
6/5/18,2:38:48,149,Forty-seven
7/5/18,9:21:36,179,Forty-seven
8/5/18,11:07:17,190,Forty-seven
9/5/18,23:57:09,707,Forty-seven
10/5/18,10:59:54,166,Forty-seven
11/5/18,11:29:37,147,Forty-seven
12/5/18,13:46:30,95,Forty-seven
13/5/18,5:59:40,225,Forty-seven
14/5/18,4:57:06,313,Forty-seven
15/5/18,7:44:06,190,Forty-seven
16/5/18,13:35:56,292,Forty-seven
17/5/18,8:18:57,232,Forty-seven
18/5/18,7:39:23,158,Forty-seven
19/5/18,15:56:07,188,Forty-seven
20/5/18,0:01:53,124,Forty-seven
28/5/18,14:25:58,140,Forty-seven
29/5/18,5:15:48,213,Forty-seven
30/5/18,2:22:54,83,Forty-seven
31/5/18,12:44:45,160,Forty-seven
1/5/18,8:23:55,215,Forty-nine
2/5/18,4:44:02,349,Forty-nine
3/5/18,14:41:03,193,Forty-nine
4/5/18,10:59:35,252,Forty-nine
5/5/18,3:45:50,222,Forty-nine
6/5/18,1:31:58,304,Forty-nine
7/5/18,9:38:56,200,Forty-nine
8/5/18,23:59:59,955,Forty-nine
9/5/18,23:54:22,1091,Forty-nine
10/5/18,11:59:10,108,Forty-nine
11/5/18,4:28:59,193,Forty-nine
12/5/18,9:12:41,311,Forty-nine
13/5/18,6:05:45,352,Forty-nine
14/5/18,11:02:20,355,Forty-nine
15/5/18,5:48:04,216,Forty-nine
16/5/18,9:19:50,295,Forty-nine
17/5/18,6:54:54,325,Forty-nine
18/5/18,4:30:54,289,Forty-nine
19/5/18,17:58:58,282,Forty-nine
20/5/18,6:29:53,211,Forty-nine
26/5/18,1:18:57,1,Forty-nine
28/5/18,11:26:00,150,Forty-nine
29/5/18,4:27:27,89,Forty-nine
30/5/18,6:59:21,516,Forty-nine
31/5/18,4:11:10,147,Forty-nine
1/5/18,1:07:44,35,Fifty
2/5/18,6:38:38,122,Fifty
3/5/18,6:12:08,224,Fifty
4/5/18,6:59:26,63,Fifty
5/5/18,12:43:06,53,Fifty
6/5/18,1:36:56,80,Fifty
7/5/18,16:39:10,135,Fifty
8/5/18,7:19:23,134,Fifty
9/5/18,0:49:46,14,Fifty
10/5/18,6:29:37,147,Fifty
11/5/18,6:25:00,91,Fifty
12/5/18,19:04:14,95,Fifty
13/5/18,6:07:58,127,Fifty
14/5/18,7:11:05,79,Fifty
15/5/18,9:38:23,108,Fifty
16/5/18,17:43:38,105,Fifty
17/5/18,12:50:19,78,Fifty
18/5/18,8:49:59,97,Fifty
19/5/18,1:31:27,86,Fifty
23/5/18,1:21:51,52,Fifty
28/5/18,8:04:46,108,Fifty
29/5/18,10:10:18,136,Fifty
30/5/18,6:31:17,76,Fifty
1/5/18,1:46:03,29,Fifty-one
2/5/18,9:45:25,151,Fifty-one
3/5/18,4:16:25,48,Fifty-one
4/5/18,4:36:06,64,Fifty-one
5/5/18,11:26:55,102,Fifty-one
6/5/18,0:48:12,18,Fifty-one
7/5/18,4:57:36,106,Fifty-one
8/5/18,10:15:25,157,Fifty-one
9/5/18,7:00:51,157,Fifty-one
10/5/18,12:03:06,97,Fifty-one
11/5/18,6:27:04,142,Fifty-one
12/5/18,4:59:51,129,Fifty-one
13/5/18,2:03:23,4,Fifty-one
14/5/18,15:52:46,111,Fifty-one
15/5/18,4:35:58,77,Fifty-one
16/5/18,7:16:27,207,Fifty-one
17/5/18,3:56:22,63,Fifty-one
18/5/18,4:00:31,97,Fifty-one
19/5/18,6:45:22,40,Fifty-one
23/5/18,1:29:36,64,Fifty-one
28/5/18,6:22:10,152,Fifty-one
29/5/18,5:22:57,122,Fifty-one
30/5/18,8:38:27,188,Fifty-one
31/5/18,5:07:59,185,Fifty-one
